case_name,maximum_bs_curvature,maximum_curvature
case_files\Case1-0.575-11.0-60D_30,0.411017E-01,0.411017E-01
case_files\Case1-0.575-11.25-60D_30,0.410846E-01,0.410846E-01
case_files\Case1-0.575-11.5-60D_30,0.410652E-01,0.410652E-01
case_files\Case1-0.575-11.75-60D_30,0.410434E-01,0.410434E-01
case_files\Case1-0.575-12.0-60D_30,0.410195E-01,0.410195E-01
case_files\Case1-0.575-12.25-60D_30,0.409936E-01,0.409936E-01
case_files\Case1-0.575-12.5-60D_30,0.409659E-01,0.409659E-01
case_files\Case1-0.575-12.75-60D_30,0.409364E-01,0.409364E-01
case_files\Case1-0.575-13.0-60D_30,0.409054E-01,0.409054E-01
case_files\Case1-0.575-13.25-60D_30,0.408729E-01,0.408729E-01
case_files\Case1-0.575-13.5-60D_30,0.408388E-01,0.408388E-01
case_files\Case1-0.575-13.75-60D_30,0.408032E-01,0.408032E-01
case_files\Case1-0.575-14.0-60D_30,0.407665E-01,0.407665E-01
case_files\Case1-0.575-14.25-60D_30,0.407286E-01,0.407286E-01
case_files\Case1-0.575-14.5-60D_30,0.406896E-01,0.406896E-01
case_files\Case1-0.575-14.75-60D_30,0.406495E-01,0.406495E-01
case_files\Case1-0.575-15.0-60D_30,0.406085E-01,0.406085E-01
case_files\Case1-0.575-15.25-60D_30,0.405664E-01,0.405664E-01
case_files\Case1-0.575-15.5-60D_30,0.405232E-01,0.405232E-01
case_files\Case1-0.575-15.75-60D_30,0.404792E-01,0.404792E-01
case_files\Case1-0.575-16.0-60D_30,0.404342E-01,0.404342E-01
case_files\Case1-0.575-16.25-60D_30,0.403885E-01,0.403885E-01
case_files\Case1-0.575-16.5-60D_30,0.403419E-01,0.403419E-01
case_files\Case1-0.575-16.75-60D_30,0.402950E-01,0.402950E-01
case_files\Case1-0.575-17.0-60D_30,0.402474E-01,0.402474E-01
case_files\Case1-0.6-8.0-60D_30,0.377104E-01,0.377104E-01
case_files\Case1-0.6-8.25-60D_30,0.377550E-01,0.377550E-01
case_files\Case1-0.6-8.5-60D_30,0.377937E-01,0.377937E-01
case_files\Case1-0.6-8.75-60D_30,0.378269E-01,0.378269E-01
case_files\Case1-0.6-9.0-60D_30,0.378552E-01,0.378552E-01
case_files\Case1-0.6-9.25-60D_30,0.378788E-01,0.378788E-01
case_files\Case1-0.6-9.5-60D_30,0.378981E-01,0.378981E-01
case_files\Case1-0.6-9.75-60D_30,0.379134E-01,0.379134E-01
case_files\Case1-0.6-10.0-60D_30,0.379250E-01,0.379250E-01
case_files\Case1-0.6-10.25-60D_30,0.379331E-01,0.379331E-01
case_files\Case1-0.6-10.5-60D_30,0.379380E-01,0.379380E-01
case_files\Case1-0.6-10.75-60D_30,0.379397E-01,0.379397E-01
case_files\Case1-0.6-11.0-60D_30,0.379387E-01,0.379387E-01
case_files\Case1-0.6-11.25-60D_30,0.379350E-01,0.379350E-01
case_files\Case1-0.6-11.5-60D_30,0.379289E-01,0.379289E-01
case_files\Case1-0.6-11.75-60D_30,0.379205E-01,0.379205E-01
case_files\Case1-0.6-12.0-60D_30,0.379099E-01,0.379099E-01
case_files\Case1-0.6-12.25-60D_30,0.378972E-01,0.378972E-01
case_files\Case1-0.6-12.5-60D_30,0.378825E-01,0.378825E-01
case_files\Case1-0.6-12.75-60D_30,0.378661E-01,0.378661E-01
case_files\Case1-0.6-13.0-60D_30,0.378479E-01,0.378479E-01
case_files\Case1-0.6-13.25-60D_30,0.378280E-01,0.378280E-01
case_files\Case1-0.6-13.5-60D_30,0.378067E-01,0.378067E-01
case_files\Case1-0.6-13.75-60D_30,0.377839E-01,0.377839E-01
case_files\Case1-0.6-14.0-60D_30,0.377598E-01,0.377598E-01
case_files\Case1-0.6-14.25-60D_30,0.377346E-01,0.377346E-01
case_files\Case1-0.6-14.5-60D_30,0.377082E-01,0.377082E-01
case_files\Case1-0.6-14.75-60D_30,0.376806E-01,0.376806E-01
